"C","Mn","Si","P","S","Cr","Ni","Cu","Mg","Rm.as.cast","A5.as.cast","Twardosc"
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,692.267733333333,5.78634999999998,285
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,704.833366666667,5.27359533333332,293
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,692.541733333333,5.67605266666665,298
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,702.3697,5.81638466666664,254
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,689.624357142857,6.10197133333332,248
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,701.032533333333,5.81318466666665,242
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,692.207733333333,5.73935999999998,289
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,704.694966666667,5.71909133333331,270
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,689.553157142857,6.10017133333332,240
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,683.2072,7.83152799999998,221
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,672.911266666667,7.77379199999998,223
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,682.128266666666,7.87642799999998,220
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,669.100366666667,7.85096866666664,218
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,704.338966666667,5.71909133333331,266
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,673.163666666667,7.77239199999998,225
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,746.065666666667,5.70229933333333,346
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,730.0769,5.86775733333333,290
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,746.038866666667,5.70229933333333,337
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,725.790557142857,6.08798199999999,258
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,727.047357142857,6.04464866666666,262
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,730.0769,5.82037333333333,297
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,713.888657142857,7.70367457142856,229
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,729.5179,6.04464866666666,276
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,725.790557142857,6.08798199999999,258
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,705.911233333333,7.74962457142856,225
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,724.989690476191,6.121082,249
3.5,0.13,2.35,0.035,0.015,0.001,1,0.95,0.065,714.421990476191,7.70367457142856,232
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,740.5058,5.82008899999999,330
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,728.613533333333,5.94938966666666,301
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,728.617533333333,5.96894966666666,310
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,726.386233333334,6.03778366666666,284
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,711.085157142857,7.81476757142856,230
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,726.420233333333,6.07948366666666,280
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,721.859023809524,6.23681499999999,250
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,726.296233333333,5.99397366666666,289
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,722.733890476191,6.23501499999999,256
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,711.085157142857,7.81476757142856,230
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,722.005623809524,6.22814833333333,243
3.55,0.13,2.3,0.035,0.015,0.001,1.45,0.6,0.06,722.005623809524,6.22814833333333,242
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,691.407166666667,7.54149433333331,280
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,701.104666666667,7.18617099999998,366
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,701.159866666667,7.20163966666664,335
3.6,0.19,2.4,0.035,0.01,0.001,0.98,0.22,0.058,691.373166666667,7.53577433333331,286
